# DERIVED — do not hand-edit. Regenerate with the generator in
# read-checked-set-generator.patch (issue 114 part 2), applied on a rev with the
# statement seams, then: cargo test -p store --lib emit_checked_set -- --nocapture
#
# generated-from-rev	e51b88e
# Re-generated at e51b88e (the live rev: #16 "lots drives its own stream") against the
# 3c5ae52 output: 44 pairs, 0 added, 0 removed, 10 CHANGED — every change in `lots`.
#
# The previous stamp (3c5ae52) predated #16, so for the whole `lots` collection the
# plan gate was checking a statement the builder no longer emits. #16 replaced the
# JOIN-and-filter shape (FROM lots l JOIN tenders t JOIN tender_versions v JOIN
# tender_version_lots vl) with a lots-driven scan carrying correlated subqueries.
#
# TEN changed, not eleven — `lots|tender` is a DIFFERENT builder (it drives from
# tender_version_lots for one known tender) and #16 did not touch it. Verified rather
# than assumed by diffing it explicitly: it is byte-identical across the two revs. The
# distinction matters — "the whole collection was dead" and "ten of its eleven rows
# were" are different claims, and only the second one is true.
#
# NOTE the staleness check (section E diffs read.rs between this rev and the serving
# rev) is deliberately COARSER than the set it guards: it fires on any read.rs change,
# including ones that leave every statement identical. That is the safe direction — it
# says "I cannot establish this is current" rather than guessing — but it does mean a
# no-input after any read.rs edit until someone re-runs the generator. The remedy is
# cheap and documented; do not "fix" it by loosening the check.
#
# The cursor axis (after=0 vs after>0) is omitted: it is a BOUND PARAMETER in every
# builder, so it never changes the statement text. Re-verified at THIS rev, not
# inherited — the generator emits both phases and all 44 pairs matched (0 mismatches).
#
# collection	filter	sql
lots	buyer	SELECT l.id, l.tender_id, l.lot_key, (SELECT vl.kind FROM tender_version_lots vl WHERE vl.tender_id = l.tender_id AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND vl.lot_id = l.id), (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) FROM lots l WHERE EXISTS (SELECT 1 FROM tender_version_lots vl WHERE vl.tender_id = l.tender_id AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND vl.lot_id = l.id) AND EXISTS (SELECT 1 FROM tender_version_parties p WHERE p.tender_id = l.tender_id AND p.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND p.organization_id = ? AND p.role LIKE '%Buyer%') AND l.id > ? ORDER BY l.id LIMIT ?
lots	country	SELECT l.id, l.tender_id, l.lot_key, (SELECT vl.kind FROM tender_version_lots vl WHERE vl.tender_id = l.tender_id AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND vl.lot_id = l.id), (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) FROM lots l WHERE EXISTS (SELECT 1 FROM tender_version_lots vl WHERE vl.tender_id = l.tender_id AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND vl.lot_id = l.id) AND EXISTS (SELECT 1 FROM tender_version_classifications c WHERE c.tender_id = l.tender_id AND c.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND c.scheme = 'nuts' AND c.code LIKE ?) AND l.id > ? ORDER BY l.id LIMIT ?
lots	cpv	SELECT l.id, l.tender_id, l.lot_key, (SELECT vl.kind FROM tender_version_lots vl WHERE vl.tender_id = l.tender_id AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND vl.lot_id = l.id), (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) FROM lots l WHERE EXISTS (SELECT 1 FROM tender_version_lots vl WHERE vl.tender_id = l.tender_id AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND vl.lot_id = l.id) AND EXISTS (SELECT 1 FROM tender_version_classifications c WHERE c.tender_id = l.tender_id AND c.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND c.scheme = 'cpv' AND c.code LIKE ?) AND l.id > ? ORDER BY l.id LIMIT ?
lots	kind	SELECT l.id, l.tender_id, l.lot_key, (SELECT vl.kind FROM tender_version_lots vl WHERE vl.tender_id = l.tender_id AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND vl.lot_id = l.id), (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) FROM lots l WHERE EXISTS (SELECT 1 FROM tender_version_lots vl WHERE vl.tender_id = l.tender_id AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND vl.lot_id = l.id AND vl.kind = ?) AND l.id > ? ORDER BY l.id LIMIT ?
lots	max_value	SELECT l.id, l.tender_id, l.lot_key, (SELECT vl.kind FROM tender_version_lots vl WHERE vl.tender_id = l.tender_id AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND vl.lot_id = l.id), (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) FROM lots l WHERE EXISTS (SELECT 1 FROM tender_version_lots vl WHERE vl.tender_id = l.tender_id AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND vl.lot_id = l.id) AND (SELECT MAX(a.cents) FROM tender_version_amounts a WHERE a.tender_id = l.tender_id AND a.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id)) <= ? AND l.id > ? ORDER BY l.id LIMIT ?
lots	min_value	SELECT l.id, l.tender_id, l.lot_key, (SELECT vl.kind FROM tender_version_lots vl WHERE vl.tender_id = l.tender_id AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND vl.lot_id = l.id), (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) FROM lots l WHERE EXISTS (SELECT 1 FROM tender_version_lots vl WHERE vl.tender_id = l.tender_id AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND vl.lot_id = l.id) AND (SELECT MAX(a.cents) FROM tender_version_amounts a WHERE a.tender_id = l.tender_id AND a.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id)) >= ? AND l.id > ? ORDER BY l.id LIMIT ?
lots	none	SELECT l.id, l.tender_id, l.lot_key, (SELECT vl.kind FROM tender_version_lots vl WHERE vl.tender_id = l.tender_id AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND vl.lot_id = l.id), (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) FROM lots l WHERE EXISTS (SELECT 1 FROM tender_version_lots vl WHERE vl.tender_id = l.tender_id AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND vl.lot_id = l.id) AND l.id > ? ORDER BY l.id LIMIT ?
lots	source	SELECT l.id, l.tender_id, l.lot_key, (SELECT vl.kind FROM tender_version_lots vl WHERE vl.tender_id = l.tender_id AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND vl.lot_id = l.id), (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) FROM lots l WHERE EXISTS (SELECT 1 FROM tender_version_lots vl WHERE vl.tender_id = l.tender_id AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND vl.lot_id = l.id) AND (SELECT tt.source FROM tenders tt WHERE tt.id = l.tender_id) = ? AND l.id > ? ORDER BY l.id LIMIT ?
lots	status	SELECT l.id, l.tender_id, l.lot_key, (SELECT vl.kind FROM tender_version_lots vl WHERE vl.tender_id = l.tender_id AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND vl.lot_id = l.id), (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) FROM lots l WHERE EXISTS (SELECT 1 FROM tender_version_lots vl WHERE vl.tender_id = l.tender_id AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND vl.lot_id = l.id) AND EXISTS (SELECT 1 FROM tender_version_dates d WHERE d.tender_id = l.tender_id AND d.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = l.tender_id) AND d.field = 'submission_deadline' AND d.utc_seconds > ?) AND l.id > ? ORDER BY l.id LIMIT ?
lots	tender	SELECT l.id, l.tender_id, l.lot_key, vl.kind, v.seq FROM tender_version_lots vl JOIN lots l ON l.id = vl.lot_id AND l.tender_id = vl.tender_id JOIN tenders t ON t.id = vl.tender_id JOIN tender_versions v ON v.tender_id = vl.tender_id AND v.seq = vl.seq WHERE vl.tender_id = ? AND vl.seq = (SELECT MAX(x.seq) FROM tender_versions x WHERE x.tender_id = ?) AND l.id > ? ORDER BY l.id LIMIT ?
